"Intercept","Coef","SE","SE_inter","n","R_adj","RMSE","Formula"
"Semi-arid",-3.27804428545035,11.3563049103364,3.47525413731061,1.65717268173348,107,0.08,4.75,"MAAT_{Semi-arid} = -3.27804428545035 + 11.3563049103364	imes MBT'_{5Me}, (n = 107, R^{2}_{adj} = 0.08, RMSE = 4.75)"
"Dry sub-humid",-2.18416052926534,10.8804509181942,3.68406950179188,1.60686673798071,141,0.05,4.9,"MAAT_{Dry sub-humid} = -2.18416052926534 + 10.8804509181942	imes MBT'_{5Me}, (n = 141, R^{2}_{adj} = 0.05, RMSE = 4.9)"
"Humid",-12.5220291745001,28.5755328626001,5.37721943667736,2.50278395351094,78,0.26,5.28,"MAAT_{Humid} = -12.5220291745001 + 28.5755328626001	imes MBT'_{5Me}, (n = 78, R^{2}_{adj} = 0.26, RMSE = 5.28)"
"Hyper-arid",-4.11437347111349,15.8351523033091,2.30276502315908,1.35549183801157,165,0.22,5.64,"MAAT_{Hyper-arid} = -4.11437347111349 + 15.8351523033091	imes MBT'_{5Me}, (n = 165, R^{2}_{adj} = 0.22, RMSE = 5.64)"
"Arid",-6.84399785518667,23.466510443839,1.93115171524662,1.09142188896025,270,0.35,5.92,"MAAT_{Arid} = -6.84399785518667 + 23.466510443839	imes MBT'_{5Me}, (n = 270, R^{2}_{adj} = 0.35, RMSE = 5.92)"
"All",-6.28360524068012,20.1916398230371,1.19603325840436,0.630477891545054,761,0.27,5.62,"MAAT_{All} = -6.28360524068012 + 20.1916398230371	imes MBT'_{5Me}, (n = 761, R^{2}_{adj} = 0.27, RMSE = 5.62)"
