"Intercept","Coef","SE","SE_inter","n","R_adj","RMSE","Formula"
"Neutral",-5.42222322127798,22.3875896939585,2.24222588375423,1.21676168319726,217,0.31,5.39,"MAAT_{Neutral} = -5.42222322127798 + 22.3875896939585	imes MBT'_{5Me}, (n = 217, R^{2}_{adj} = 0.31, RMSE = 5.39)"
"Alkalin",-6.5131421916914,20.1935088747405,1.77827562895512,1.01401520849984,295,0.3,5.79,"MAAT_{Alkalin} = -6.5131421916914 + 20.1935088747405	imes MBT'_{5Me}, (n = 295, R^{2}_{adj} = 0.3, RMSE = 5.79)"
"Acid",-5.86347389953846,15.8052165331002,4.24809658822253,1.99002400899257,116,0.1,5.6,"MAAT_{Acid} = -5.86347389953846 + 15.8052165331002	imes MBT'_{5Me}, (n = 116, R^{2}_{adj} = 0.1, RMSE = 5.6)"
"All",-6.28360524068012,20.1916398230371,1.19603325840436,0.630477891545054,761,0.27,5.62,"MAAT_{All} = -6.28360524068012 + 20.1916398230371	imes MBT'_{5Me}, (n = 761, R^{2}_{adj} = 0.27, RMSE = 5.62)"
