"Intercept","Coef","SE","SE_inter","n","R_adj","RMSE","Formula"
"Soil",-7.05557174491733,22.7538473020461,1.42843806975632,0.781975186836209,560,0.31,5.7,"MAAT_{Soil} = -7.05557174491733 + 22.7538473020461	imes MBT'_{5Me}, (n = 560, R^{2}_{adj} = 0.31, RMSE = 5.7)"
"Lacustrine",-2.11412360298842,7.08977999161538,2.02248684864787,0.942408365429191,201,0.05,4.57,"MAAT_{Lacustr.} = -2.11412360298842 + 7.08977999161538	imes MBT'_{5Me}, (n = 201, R^{2}_{adj} = 0.05, RMSE = 4.57)"
"All",-6.28360524068012,20.1916398230371,1.19603325840436,0.630477891545054,761,0.27,5.62,"MAAT_{All} = -6.28360524068012 + 20.1916398230371	imes MBT'_{5Me}, (n = 761, R^{2}_{adj} = 0.27, RMSE = 5.62)"
